City,Country,Latitude,Longitude,Timestamp_UTC,Temperature_C,Wind_KPH,Condition,AQI_US,CO,NO2,O3,PM2.5
Casablanca,Morocco,33.5931,-7.6164,1764214200,8.1,13.7,Clear,1,138.85,10.55,50.0,8.85
Addis Ababa,Ethiopia,9.0333,38.7,1764214200,13.3,4.7,Partly cloudy,2,424.85,7.75,45.0,26.35
Dar Es Salaam,Tanzania,-6.8,39.2833,1764214200,24.6,5.8,Patchy rain nearby,1,115.85,5.35,28.0,7.75
Kampala,Uganda,0.3156,32.5656,1764214200,22.1,3.6,Patchy rain nearby,2,396.85,11.85,31.0,30.55
Algiers,Algeria,36.7631,3.0506,1764214200,8.1,22.7,Light rain,1,143.85,12.35,56.0,3.75
Lagos,Nigeria,6.4531,3.3958,1764236700,30.2,14.0,Partly cloudy,2,657.85,6.55,75.0,17.15
Accra,Ghana,5.55,-0.2167,1764236700,29.1,15.5,Partly cloudy,1,260.85,2.85,66.0,8.55
Nairobi,Kenya,-1.2833,36.8167,1764236700,24.3,17.6,Partly cloudy,1,297.85,4.55,61.0,7.65
Johannesburg,South Africa,-26.2,28.0833,1764236700,25.2,7.9,Sunny,2,339.85,14.35,136.0,15.95
Cairo,Egypt,30.05,31.25,1764236700,23.2,15.8,Sunny,1,341.85,42.45,25.0,14.45
Casablanca,Morocco,33.5931,-7.6164,1764236700,16.3,15.8,Sunny,1,172.85,27.65,44.0,13.05
Addis Ababa,Ethiopia,9.0333,38.7,1764236700,20.4,9.4,Partly cloudy,1,290.85,1.85,90.0,15.35
Dar Es Salaam,Tanzania,-6.8,39.2833,1764236700,32.1,13.7,Partly cloudy,1,122.85,2.45,62.0,7.95
Kampala,Uganda,0.3156,32.5656,1764236700,30.2,12.6,Sunny,2,503.85,3.05,70.0,17.15
Algiers,Algeria,36.7631,3.0506,1764236700,13.3,19.1,Partly cloudy,1,208.85,31.25,50.0,7.25
Lagos,Nigeria,6.4531,3.3958,1764251100,30.2,19.8,Partly cloudy,2,469.85,3.15,100.0,17.95
Accra,Ghana,5.55,-0.2167,1764251100,31.3,22.0,Partly cloudy,1,214.85,1.85,82.0,9.65
Nairobi,Kenya,-1.2833,36.8167,1764251100,24.2,20.5,Partly cloudy,1,214.85,1.85,81.0,5.15
Johannesburg,South Africa,-26.2,28.0833,1764251100,21.5,15.1,Patchy rain nearby,2,283.85,7.15,178.0,20.85
Cairo,Egypt,30.05,31.25,1764251100,25.4,13.3,Sunny,1,175.85,13.85,93.0,9.75
Casablanca,Morocco,33.5931,-7.6164,1764251100,18.3,15.5,Sunny,1,136.85,5.55,74.0,9.15
Addis Ababa,Ethiopia,9.0333,38.7,1764251100,21.4,7.2,Partly cloudy,2,201.85,1.15,94.0,20.05
Dar Es Salaam,Tanzania,-6.8,39.2833,1764251100,32.4,18.4,Sunny,1,117.85,1.85,82.0,6.25
Kampala,Uganda,0.3156,32.5656,1764251100,27.1,6.8,Patchy rain nearby,1,221.85,1.35,89.0,9.65
Algiers,Algeria,36.7631,3.0506,1764251100,15.0,14.4,Partly cloudy,1,135.85,6.15,82.0,4.55
Lagos,Nigeria,6.4531,3.3958,1764378000,27.9,14.8,Partly Cloudy,2,372.85,15.65,43.0,21.45
Accra,Ghana,5.55,-0.2167,1764378000,26.6,12.2,Partly Cloudy,1,274.85,17.45,37.0,11.85
Nairobi,Kenya,-1.2833,36.8167,1764378000,14.9,8.3,Partly Cloudy,1,297.85,10.25,36.0,14.85
Johannesburg,South Africa,-26.2,28.0833,1764378000,14.5,11.5,Patchy rain nearby,2,351.85,20.35,50.0,17.95
Cairo,Egypt,30.05,31.25,1764378000,18.0,3.6,Cloudy,2,603.85,77.35,9.0,24.95
Casablanca,Morocco,33.5931,-7.6164,1764378000,15.2,4.7,Clear,2,188.85,25.15,36.0,19.35
Addis Ababa,Ethiopia,9.0333,38.7,1764378000,10.3,3.6,Clear,2,575.85,7.25,44.0,23.35
Dar Es Salaam,Tanzania,-6.8,39.2833,1764378000,24.5,7.2,Partly Cloudy,1,105.85,5.75,29.0,7.15
Kampala,Uganda,0.3156,32.5656,1764378000,21.1,3.6,Partly Cloudy,3,402.85,13.85,48.0,49.55
Algiers,Algeria,36.7631,3.0506,1764378000,11.7,6.8,Clear,1,184.85,28.75,43.0,8.45
Lagos,Nigeria,6.4531,3.3958,1764551700,27.8,14.8,Clear,1,333.85,6.75,48.0,14.45
Accra,Ghana,5.55,-0.2167,1764551700,26.8,14.0,Cloudy,1,261.85,11.25,38.0,9.05
Nairobi,Kenya,-1.2833,36.8167,1764551700,15.1,15.5,Clear,1,248.85,6.15,55.0,10.75
Johannesburg,South Africa,-26.2,28.0833,1764551700,15.1,16.2,Patchy rain nearby,1,175.85,8.95,70.0,14.15
Cairo,Egypt,30.05,31.25,1764551700,15.1,7.2,Clear,2,395.85,57.55,8.0,38.85
Casablanca,Morocco,33.5931,-7.6164,1764551700,14.8,12.6,Clear,1,134.85,11.35,58.0,6.25
Addis Ababa,Ethiopia,9.0333,38.7,1764551700,8.3,3.6,Clear,2,752.85,8.25,43.0,25.55
Dar Es Salaam,Tanzania,-6.8,39.2833,1764551700,25.8,11.9,Patchy rain nearby,1,125.85,3.15,49.0,11.55
Kampala,Uganda,0.3156,32.5656,1764551700,21.2,3.6,Clear,2,355.85,9.35,50.0,32.15
Algiers,Algeria,36.7631,3.0506,1764551700,14.9,5.0,Partly Cloudy,1,253.85,55.25,17.0,13.05
Lagos,Nigeria,6.4531,3.3958,1764723600,27.8,18.4,Cloudy,1,298.85,8.75,45.0,14.85
Accra,Ghana,5.55,-0.2167,1764723600,26.4,19.4,Patchy rain nearby,1,199.85,7.15,42.0,8.75
Nairobi,Kenya,-1.2833,36.8167,1764723600,17.1,11.5,Partly Cloudy,1,273.85,6.05,54.0,13.25
Johannesburg,South Africa,-26.2,28.0833,1764723600,14.7,5.8,Clear,3,362.85,52.05,14.0,41.95
Cairo,Egypt,30.05,31.25,1764723600,15.9,15.1,Clear,2,276.85,37.65,39.0,18.95
Casablanca,Morocco,33.5931,-7.6164,1764723600,16.4,16.6,Cloudy,1,152.85,9.15,68.0,8.55
Addis Ababa,Ethiopia,9.0333,38.7,1764723600,9.1,4.7,Clear,2,655.85,9.15,45.0,28.55
Dar Es Salaam,Tanzania,-6.8,39.2833,1764723600,25.4,10.8,Patchy rain nearby,1,135.85,3.45,47.0,10.95
Kampala,Uganda,0.3156,32.5656,1764723600,19.9,3.6,Clear,2,572.85,10.65,49.0,33.35
Algiers,Algeria,36.7631,3.0506,1764723600,14.5,14.0,Patchy rain nearby,1,171.85,21.95,40.0,11.35
Lagos,Nigeria,6.4531,3.3958,1764896400,28.1,14.8,Partly Cloudy,2,370.85,15.85,38.0,21.25
Accra,Ghana,5.55,-0.2167,1764896400,26.8,13.0,Clear,2,241.85,21.25,38.0,21.85
Nairobi,Kenya,-1.2833,36.8167,1764896400,14.0,11.5,Partly Cloudy,1,274.85,6.95,44.0,14.25
Johannesburg,South Africa,-26.2,28.0833,1764896400,14.8,12.6,Clear,2,286.85,24.95,52.0,23.95
Cairo,Egypt,30.05,31.25,1764896400,20.0,10.4,Clear,2,256.85,43.65,31.0,21.65
Casablanca,Morocco,33.5931,-7.6164,1764896400,13.9,11.2,Clear,2,207.85,19.75,38.0,18.85
Addis Ababa,Ethiopia,9.0333,38.7,1764896400,12.1,3.6,Clear,2,578.85,10.15,46.0,27.35
Dar Es Salaam,Tanzania,-6.8,39.2833,1764896400,25.3,9.4,Clear,1,131.85,5.75,29.0,10.95
Kampala,Uganda,0.3156,32.5656,1764896400,19.6,6.1,Clear,2,433.85,10.95,60.0,33.55
Algiers,Algeria,36.7631,3.0506,1764896400,14.9,41.8,Light rain shower,1,126.85,5.45,74.0,4.45
Lagos,Nigeria,6.4531,3.3958,1765069200,27.9,17.3,Clear,2,336.85,13.35,51.0,26.45
Accra,Ghana,5.55,-0.2167,1765069200,27.3,15.8,Cloudy,1,248.85,11.45,42.0,14.45
Nairobi,Kenya,-1.2833,36.8167,1765069200,14.0,12.2,Partly Cloudy,1,309.85,6.45,43.0,10.55
Johannesburg,South Africa,-26.2,28.0833,1765069200,19.4,15.1,Clear,2,280.85,29.35,85.0,29.15
Cairo,Egypt,30.05,31.25,1765069200,13.6,9.0,Clear,2,295.85,50.85,12.0,28.25
